"issue_type","sample_id","site_code","detail","action"
"INCOMPLETE_AQUATIC_TRIPLET",,"192","Missing: stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"360","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"43","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"45","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"47","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"49","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"53","Missing: hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"54","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"57","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"58","Missing: hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"60","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"65","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"66","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"67","Missing: hyporheic water; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"68","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"71","Missing: planktonic streamwater; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"72","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"73","Missing: planktonic streamwater; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"74","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"76","Missing: planktonic streamwater; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"82","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"84","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"CC-1","Missing: planktonic streamwater; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"CC-2","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"CC-3","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"CC-4","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"KC-1","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"KC-2","Missing: stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"KC-3","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS1-2","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS1-3","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS1-4","Missing: hyporheic water; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS1-7","Missing: planktonic streamwater; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS1-8","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS3-2","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS3-3","Missing: planktonic streamwater","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS3-4","Missing: hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS3-5","Missing: planktonic streamwater; hyporheic water","Treat the design as unbalanced; do not synthesize missing libraries."
"INCOMPLETE_AQUATIC_TRIPLET",,"WS3-6","Missing: hyporheic water; stream sediment","Treat the design as unbalanced; do not synthesize missing libraries."
