Site Code,Date,Time_HH:MM,Stream_Centerline_UTM_Zone_10N_X_m,Stream_Centerline_UTM_Zone_10N_Y_m,Segment_Number,Drainage_area_ha,Valley_Slope_m/m,Stream_Slope_m/m,Valley_Width_m,Segment_Valley_Avg_Slope_m/m,Segment_Stream_Avg_Slope_m/m,Segment_Valley_Avg_Width_m,Stream_Order,Segment_Sinuosity_m/m, Valley_Distance_to_outlet_m
71,2016-07-29,15:00,562662.338790582,4897988.742377190,556,101.7,-0.075076466,-0.064620158,7.618677244,-0.066699456,-0.053480998,27.64914734,3,1.234710245,662.1800926
72,2016-07-28,9:25,566542.167446234,4896499.808132790,16,568.3,-0.056788812,-0.053189975,27.65471602,-0.090830035,-0.079896585,18.04689926,4,1.147446563,226.5243578
73,2016-07-28,11:30,566310.177691566,4896786.795458610,255,137.0,-0.240080562,-0.207612342,8.701940435,-0.221981927,-0.193983572,13.22052871,2,1.158282148,749.9591592
74,2016-07-27,17:15,565310.221852481,4897724.754035670,373,70.0,-0.074200401,-0.068083171,21.30469527,-0.137146506,-0.118435042,37.42017097,2,1.212599024,171.9794298
76,2016-07-28,16:00,570464.994202967,4896947.788348700,150,303.5,-0.052870797,-0.048879363,18.21707903,-0.084730679,-0.073594127,15.66722072,3,1.173050831,530.0336208
82,2016-07-29,13:30,564452.259742545,4899854.659972920,536,36.6,-0.085615209,-0.080945397,15.57254467,-0.16845596,-0.147613866,17.17200183,2,1.152868486,436.2855652
83,2016-07-29,9:30,565376.218937860,4900765.619742330,416,154.4,-0.296362264,-0.27967608,22.82064019,-0.062807991,-0.055170617,17.51103966,3,1.159975533,350.2536502
84,2016-07-27,17:10,566447.171641521,4900685.623275200,112,622.7,-0.094390432,-0.092185768,16.18687395,-0.068115114,-0.058241139,23.57085995,4,1.180056061,589.6388792
155,2016-07-30,11:00,565811.199727862,4897652.757215250,345,81.2,-0.134617845,-0.124531506,8.095929766,-0.170310403,-0.149651299,13.36148544,2,1.160255254,511.7981462
156,2016-07-30,9:30,566141.185154761,4897558.761366380,24,2575.9,-0.002018132,-0.001656933,62.16885885,-0.043737753,-0.036463055,65.26596032,5,1.225872783,427.4193177
160,2016-07-28,15:20,566416.173010509,4897492.764281000,24,2569.5,-0.002018132,-0.001656933,62.16885885,-0.043737753,-0.036463055,65.26596032,5,1.225872783,427.4193177
161,2016-07-29,17:00,561109.407372482,4897170.778500810,51,5699.1,-0.007630794,-0.006760234,42.67233074,-0.020158631,-0.016325195,78.94675898,5,1.254207335,393.7080053
162,2016-07-28,13:30,559348.485139852,4895468.853662690,66,6208.4,-0.012100132,-0.008005579,33.52005344,-0.014432699,-0.01110675,39.48974449,5,1.216440257,222.6371993
163,2016-07-29,17:00,559726.468447026,4896111.825267220,63,6126.6,-0.002832867,-0.002185413,40.34800602,-0.014982946,-0.013118869,66.58608925,5,1.199387475,191.2144031
164,2016-07-27,N/A,560307.442789535,4895737.841783400,502,60.8,-0.14974372,-0.136445456,11.08571572,-0.174010351,-0.150576662,14.70228611,3,1.175485846,848.3428208
165,2016-07-29,11:30,564789.244860317,4900155.646680490,494,27.9,-0.230323906,-0.2079444,10.01725032,-0.138067136,-0.122846741,8.473930813,2,1.171056099,252.3794033
169,2016-07-27,12:00,568641.074752475,4902527.541930800,144,53.5,-0.257249054,-0.238004313,13.12186768,-0.143391068,-0.124761623,19.48185823,2,1.161264333,308.4101049
170,2016-07-28,2:00,570659.985591589,4896908.790070970,229,49.4,-0.040266428,-0.034795474,8.556207219,-0.075000555,-0.068714332,8.095730452,2,1.103164313,231.8626881
177,2016-07-27,N/A,565808.199860345,4901620.581984750,452,14.8,-0.118097045,-0.104664078,13.46003211,-0.198687156,-0.173561153,15.26010437,1,1.163096091,436.9310981
178,2016-07-27,11:55,566185.183211680,4901793.574344910,411,19.9,-0.025224804,-0.021348241,13.50853812,-0.183752411,-0.162549637,16.2771764,2,1.162679515,601.7333146
190,2016-07-30,12:15,564169.272240084,4897881.747102400,546,14.2,-0.042313525,-0.034690915,18.94241829,-0.215774512,-0.188760504,13.71636989,1,1.175407247,805.7817733
192,2016-07-30,10:00,564620.252323511,4897836.749089650,542,28.5,-0.07190886,-0.066713261,10.52922077,-0.138832327,-0.119252493,24.4735968,2,1.209042043,282.0450111
260,2016-07-28,11:45,566425.172613061,4897456.765870790,23,866.1,-0.037692966,-0.033458234,22.70001767,-0.078060194,-0.067213141,25.96184679,4,1.222409338,191.0497387
360,2016-07-28,13:26,566456.171244073,4897485.764590130,85,1702.7,-0.062821627,-0.05606851,72.68420091,-0.047516592,-0.040649012,31.92202379,4,1.196265473,475.3858305
CC-1,2016-07-28,N/A,569956.016680872,4897740.753329090,183,64.0,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572
CC-2,2016-07-28,N/A,569992.015091080,4897760.752445880,183,63.6,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572
CC-3,2016-07-28,N/A,570038.013059678,4897795.750900240,183,63.0,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572
CC-4,2016-07-28,N/A,570162.007583724,4897831.749310450,183,58.5,-0.155122752,-0.151216706,10.55296355,-0.213735233,-0.18727205,13.68139482,2,1.140837362,1149.935572
KC-1,2016-07-29,10:00,562012.367495176,4896802.794752030,362,114.7,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458
KC-2,2016-07-29,N/A,561999.368069268,4896735.797710810,362,114.2,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458
KC-3,2016-07-29,N/A,562000.368025107,4896680.800139660,362,114.0,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458
KC-4,2016-07-29,15:20,561995.368245912,4896630.802347710,362,113.7,-0.012821152,-0.012018235,17.43566188,-0.186179776,-0.164364648,12.37247517,3,1.149766142,706.4290458
WS1-2,2016-07-26,9:50,559354.484874886,4895103.869781420,522,93.6,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS1-3,2016-07-26,10:00,559404.482666841,4895069.871282900,522,92.1,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS1-4,2016-07-26,10:20,559453.480502956,4895042.872475240,522,89.8,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS1-5,2016-07-26,12:35,559517.477676657,4895016.873623420,522,87.9,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS1-6,2016-07-26,14:28,559631.472642313,4894993.874639130,522,82.7,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS1-7,2016-07-26,14:00,559691.469992658,4894971.875610670,522,76.0,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS1-8,2016-07-26,16:30,559768.466592268,4894955.876317240,522,73.5,-0.097344677,-0.085790151,8.081395546,-0.160328262,-0.138776822,12.4507635,2,1.167716063,922.7482014
WS3-1,2016-07-26,16:00,560508.433913191,4896516.807382050,511,96.4,-0.257226123,-0.232162009,15.29564596,-0.158750115,-0.141487193,12.51585012,2,1.143900876,396.7839801
WS3-2,2016-07-27,8:30,560554.431881789,4896487.808662720,511,95.7,-0.257226123,-0.232162009,15.29564596,-0.158750115,-0.141487193,12.51585012,2,1.143900876,396.7839801
WS3-3,2016-07-27,10:30,560639.428128111,4896408.812151430,511,93.4,-0.257226123,-0.232162009,15.29564596,-0.158750115,-0.141487193,12.51585012,2,1.143900876,396.7839801
WS3-4,2016-07-27,12:15,560692.425787583,4896348.814801090,510,81.3,-0.048358339,-0.047321766,7.084173199,-0.174316232,-0.153984685,8.807895836,2,1.143894954,425.0078962
WS3-5,2016-07-27,13:15,560676.426494157,4896350.814712760,630,10.2,-0.320352246,-0.297985891,5.985930623,-0.264038584,-0.243953822,7.207806339,1,1.098938832,458.875664
WS3-6,2016-07-27,14:15,560819.420179147,4896235.819791270,510,78.4,-0.048358339,-0.047321766,7.084173199,-0.174316232,-0.153984685,8.807895836,2,1.143894954,425.0078962
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
